release_id,edition_id,title_primary,platform,country,language,release_date
RL-002778E60B,ED-4AF853DEC2,240p Test Suite,SNES,UNK,xx,
RL-E71CF9D07C,ED-889DCC0CE7,"ASCII Super Advantage, Arcade controller",SNES,UNK,xx,
RL-AFF61CCC9B,ED-D421DE509C,Aaahh!!! Real Monsters,SNES,UNK,xx,
RL-4C31FD247A,ED-9C798A0DBC,ActRaiser 2,SNES,UNK,xx,
RL-D4BEF9498E,ED-FDCB5C2C2E,Actraiser,SNES,UNK,xx,
RL-9C60544B6D,ED-407F7C78B2,Addams Family Values,SNES,UNK,xx,
RL-F45068D60D,ED-2D3EB4ACD1,Aero the Acro-Bat,SNES,UNK,xx,
RL-1ED63E9CDC,ED-5407FFAB1C,"Alfa Data OMM-MT Mouse for Amiga, Atari",AMIGA,UNK,xx,
RL-64D7919EB9,ED-99882E7047,Alien 3,SNES,UNK,xx,
RL-460C660EFC,ED-6E234A371B,Ambrosia RC AeroChopper Controller,AMIGA,UNK,xx,
RL-60CEF18B1D,ED-3982877A3E,Amiga 2000,AMIGA,UNK,xx,
RL-7C2A78695C,ED-A100A27BDA,Another World,SNES,UNK,xx,
RL-C07091F4A6,ED-6756E51EEE,Archer Maclean's Super Dropzone,SNES,UNK,xx,
RL-EE498CC2BA,ED-012CBD8489,Ardy Lightfoot,SNES,UNK,xx,
RL-4F39836679,ED-345D4DAC47,Arkanoid,SNES,UNK,xx,
RL-E75E0FD82C,ED-4459DEEFE3,Art of Fighting,SNES,UNK,xx,
RL-C0BED913EF,ED-BF48C72249,Asciiware Fighter Stick SN,SNES,UNK,xx,
RL-A4EDF021D2,ED-E48D6C840A,Assassin's Creed Bloodlines,PS,UNK,xx,
RL-1550468DF5,ED-639E1F0424,Assault Suits Valken,SNES,UNK,xx,
RL-82E5DF5738,ED-0571E31AD8,Astérix,SNES,UNK,xx,
RL-1EC3234CE0,ED-84829203E3,Astérix & Obelix,SNES,UNK,xx,
RL-5AD13E37CE,ED-643B7FD542,Astérix & Obélix,SNES,UNK,xx,
RL-1EF611954B,ED-674C2EA3DC,"Aura Interactor, Force-feedback device",PS,UNK,xx,
RL-82CC4A84C8,ED-1A20A181F4,Ax Battler Legend of Golden Axe,GG,UNK,xx,
RL-F55139335F,ED-14EF901436,Axelay,SNES,UNK,xx,
RL-E5B7AAF811,ED-C5E269E870,B.O.B.,SNES,UNK,xx,
RL-20A69721B9,ED-E93D86DD2E,Barkley Shut Up and Jam!,SNES,UNK,xx,
RL-67F32B82E8,ED-A60DD43587,Baseball Stars Professional,NEO-AES,UNK,xx,
RL-DA1990C9BA,ED-952A7399F4,Batman Forever,SNES,UNK,xx,
RL-34E25A8CFF,ED-3B9C88B1DC,Battle Clash,SNES,UNK,xx,
RL-52019B3BFE,ED-6BC9D2F31F,Battletoads Double Dragon,SNES,UNK,xx,
RL-46C3D8612C,ED-4FA26DFA0B,Battletoads in Battlemaniacs,SNES,UNK,xx,
RL-E1E17F1422,ED-FA99852AF5,Beach-Head,C64,UNK,xx,
RL-D5BB70921C,ED-B8083D8461,Best of the Best Championship Karate,SNES,UNK,xx,
RL-5825E50B97,ED-DF48ED0964,Big Sky Trooper,SNES,UNK,xx,
RL-F22C72755A,ED-99D77E6105,Bio Challenge,AMIGA,UNK,xx,
RL-4DF1F5FBDF,ED-57B88956E6,Birds of Prey,AMIGA,UNK,xx,
RL-222E6BC5D4,ED-2410515907,Blackhawk,SNES,UNK,xx,
RL-0BBF3F574E,ED-7E98114AE3,Blazing Skies,SNES,UNK,xx,
RL-AEA898DBA3,ED-31D3296221,Bram Stoker's Dracula,SNES,UNK,xx,
RL-054426000F,ED-6219810DB2,Breath of Fire,SNES,UNK,xx,
RL-08D81519E8,ED-CC7D56544F,Breath of Fire II,SNES,UNK,xx,
RL-C4803E8D3A,ED-DB5BC547AC,Brett Hull Hockey,SNES,UNK,xx,
RL-DE528186FB,ED-56B6DC9B81,Bubsy In: Claws Encounters of the Furred Kind,SNES,UNK,xx,
RL-64273A4A05,ED-4A2C34FADA,Bugs Bunny Rabbit Rampage,SNES,UNK,xx,
RL-4C82039084,ED-A80ED1A986,Bundled with Amiibo,WIIU,UNK,xx,
RL-C27312797D,ED-662FB95D4A,Cannon Fodder,SNES,UNK,xx,
RL-F71989F84A,ED-FFC4AF8D37,Carrier Aces,SNES,UNK,xx,
RL-4C4E5B20B2,ED-D377EAACC4,Carrier Command,AMIGA,UNK,xx,
RL-7E7E1416F7,ED-78F636142A,Castlevania Vampire's Kiss,SNES,UNK,xx,
RL-8EEEF9F46F,ED-64DF2425B0,Castlevania Vampires Kiss,SNES,UNK,xx,
RL-BC65C6021E,ED-0AC0723FE2,Champions World Class Endorsed by PSG,SNES,UNK,xx,
RL-77221C4A47,ED-AE99026304,Chicago 90,AMIGA,UNK,xx,
RL-A64F196A76,ED-DC2B461118,Choplifter III,SNES,UNK,xx,
RL-13032929D5,ED-04B349EDD1,Choplifter III Rescue Survive,SNES,UNK,xx,
RL-910B415968,ED-26F1EE90B9,Chrono Trigger,SNES,UNK,xx,
RL-5862C9E1EF,ED-CDD0CD28D1,Chuck Rock,SNES,UNK,xx,
RL-D3D27C87BE,ED-90E4EE23EE,Clay Fighter 2 Judgment Clay,SNES,UNK,xx,
RL-7858AB3F30,ED-6EFC1D78FC,ClayFighter,SNES,UNK,xx,
RL-9964AA27CC,ED-CA823CE580,Clayfighter,SNES,UNK,xx,
RL-8FCCEE5F17,ED-6C0C03FF1A,Claymates,SNES,UNK,xx,
RL-D72ECCD797,ED-5BA6CEC4D4,Cliffhanger,SNES,UNK,xx,
RL-3D1A37921C,ED-53B4376663,Conflict The Middle East Simulation,AMIGA,UNK,xx,
RL-194EEC6584,ED-D40BD8AEE4,Cool Spot,SNES,UNK,xx,
RL-8A5AFCF8B5,ED-5E813A01D2,Cool World,SNES,UNK,xx,
RL-7E17FAE661,ED-B84E663810,Cutthroat Island,SNES,UNK,xx,
RL-2D208D4C42,ED-7CDE1DD38A,Cyber Spin,SNES,UNK,xx,
RL-A2346234DE,ED-7E1C366044,Cybernator,SNES,UNK,xx,
RL-E8C13C6D96,ED-850C9A8393,D-Force,SNES,UNK,xx,
RL-B7B63F6DAF,ED-AB07DE3321,Daffy Duck The Marvin Missions,SNES,UNK,xx,
RL-D08AA86AAB,ED-95BF7FFE6D,Daley Thompson's Decathlon,C64,UNK,xx,
RL-A31B91B495,ED-336447270F,Darius Twin,SNES,UNK,xx,
RL-EF24B44079,ED-D9CAAF08DF,Das Dschungelbuch,SNES,UNK,xx,
RL-06ED88EC1B,ED-C83909426C,Data East Classic Collection,SNES,UNK,xx,
RL-5DE12CE1B9,ED-531A508047,Datel Pro Action Replay 2 for the Super NES,SNES,UNK,xx,
RL-A2A407CD9C,ED-0051876651,De Smurfen,SNES,UNK,xx,
RL-6C201D4349,ED-8FB9F5AA84,Demolition Man,SNES,UNK,xx,
RL-F9A7EBD212,ED-9D2EC161D1,Demon's Crest,SNES,UNK,xx,
RL-2852EFA2FF,ED-EC1223785F,Dennis,SNES,UNK,xx,
RL-7F5A909244,ED-5EEA2521EC,Der König Der Löwen,SNES,UNK,xx,
RL-417490650C,ED-3D70F500E6,Der Rasenmäher-Mann,SNES,UNK,xx,
RL-6FA00E57F2,ED-37142B129E,Desert Fighter,SNES,UNK,xx,
RL-371B2B44CE,ED-23ADEDE9FE,Desert Strike Return to the Gulf,SNES,UNK,xx,
RL-90B6C49620,ED-92F38CB368,Die Schlümpfe,SNES,UNK,xx,
RL-DADC77F9E4,ED-A4C4EF5D21,Dino Dini's Soccer,SNES,UNK,xx,
RL-0E7D57641A,ED-783FDAF482,Disney Donald in Maui Mallard,SNES,UNK,xx,
RL-0642DCD6F2,ED-C3909FE51F,Disney's Aladdin,SNES,UNK,xx,
RL-361DC745CE,ED-792A60C285,Disney's Beauty and the Beast,SNES,UNK,xx,
RL-0B92CB8853,ED-72A9B8CA53,Disney's Goof Troop,SNES,UNK,xx,
RL-79B9F02DFD,ED-1C91A4CE08,Disney's Jungle Boek,SNES,UNK,xx,
RL-EDA6F660F2,ED-925C58DB6F,Disney's The Jungle Book,SNES,UNK,xx,
RL-7A7051231D,ED-5F60089371,Disney's The Lion King,SNES,UNK,xx,
RL-9DF1E91504,ED-F158544A4F,Disney's Timon & Pumbaa's Jungle Games,SNES,UNK,xx,
RL-910468EB8E,ED-DD9B17A621,Donald in Maui Mallard,SNES,UNK,xx,
RL-2CEE6E19ED,ED-3911AC3EF6,Donkey Kong Country,SNES,UNK,xx,
RL-B1EC233F70,ED-76E6AA0888,Donkey Kong Country 2 Diddy's Kong Quest,SNES,UNK,xx,
RL-8AD4CA3F40,ED-663DB72B53,Donkey Kong Country 3 Dixie Kong's Double Trouble!,SNES,UNK,xx,
RL-2481B6982E,ED-352381FA95,Donkey Kong Country 3 Donkey Kong's Double Trouble!,SNES,UNK,xx,
RL-363059734C,ED-94D91F1D42,Doom,SNES,UNK,xx,
RL-2AD5898046,ED-F3C8B53F19,Dorke & Ymp,SNES,UNK,xx,
RL-5ABAAC7380,ED-354E75768A,Double Dragon V The Shadow Falls,SNES,UNK,xx,
RL-161B65989E,ED-509B8A9661,Dragon The Bruce Lee Story,SNES,UNK,xx,
RL-BA6FE99BC9,ED-4227018650,Dragon View,SNES,UNK,xx,
RL-8BA4264996,ED-5FF0AF610E,Dragon's Lair,SNES,UNK,xx,
RL-D6B27E7EBD,ED-21FB3B28AD,Dragon's Lair LDG Laser Disc Game,AMIGA,UNK,xx,
RL-9414CFF645,ED-46A114DB31,ESPN Baseball Tonight,SNES,UNK,xx,
RL-84D6C37A83,ED-5283D96DF0,Earthworm Jim,SNES,UNK,xx,
RL-680E3C7C83,ED-F52482A8E5,Earthworm Jim 2,SNES,UNK,xx,
RL-2FDC3B8DB2,ED-A6C88AEAD6,Eek! The Cat,SNES,UNK,xx,
RL-5177AB48DF,ED-FF5440F2C4,Eek! the Cat,SNES,UNK,xx,
RL-D2FB73A095,ED-6EF7397689,Equinox,SNES,UNK,xx,
RL-D3F7742B58,ED-5B43346929,Erben der Erde Die Grosse Suche,AMIGA,UNK,xx,
RL-2FF01A36F5,ED-D3CA34AABE,Eric Cantona Football Challenge,SNES,UNK,en,
RL-BFDB34CEEF,ED-9BE6B4E1A9,Exhaust Heat,SNES,UNK,xx,
RL-318A58CA81,ED-FAB2F3B636,F-Zero,SNES,UNK,xx,
RL-7319008BDD,ED-68AA537FFA,F1 Pole Position,SNES,UNK,xx,
RL-DDC3C1AC2B,ED-BA61D8343D,F1 Pole Position 2,SNES,UNK,xx,
RL-B0263138AD,ED-1036AE0607,FIFA 96 Soccer,SNES,UNK,xx,
RL-DED996E7EA,ED-7CEAC596E7,FIFA 97,SNES,UNK,xx,
RL-79B1BBFE2F,ED-6ED43CAC8E,FIFA Road to World Cup 98,SNES,UNK,xx,
RL-D5DEF93929,ED-6FFE766F68,FIFA Soccer 96,SNES,UNK,xx,
RL-2B597ABB12,ED-D371E70BC9,Fatal Fury,SNES,UNK,xx,
RL-081EFABFBC,ED-72CF59E3B7,Ferrari Formula 1,AMIGA,UNK,xx,
RL-94A8C12BEF,ED-1869474C52,Fighter's History Dynamite,NEO-AES,UNK,xx,
RL-592A1008FB,ED-E16EFFF463,Final Fantasy II,SNES,UNK,xx,
RL-21AAFA5CE2,ED-647C7CF51B,Final Fantasy III,SNES,UNK,xx,
RL-E07E8F2026,ED-B1F373EAFB,Final Fantasy Mystic Quest,SNES,UNK,xx,
RL-F06129E3A4,ED-04B9D814C2,Final Fight,SNES,UNK,xx,
RL-1C288FC3A6,ED-C35B000CED,"Fire The Rebel Mouse for SNES / SFC F-010, Super NES Mouse",SNES,UNK,xx,
RL-91626714AD,ED-A918F4744F,Flashback,SNES,UNK,xx,
RL-9FB6D63C3B,ED-47928B94D0,Foreman for Real,SNES,UNK,xx,
RL-A658A45427,ED-F91D411281,Fork Parker's Crunch Out,SNES,UNK,xx,
RL-00B036861D,ED-CD008D0087,Fun 'n Games,SNES,UNK,xx,
RL-6A1F2A2164,ED-A50119E86A,G.Nius,AMIGA,UNK,xx,
RL-C54595984C,ED-A7B9302F8A,GP-1,SNES,UNK,xx,
RL-CDB5AAEAC2,ED-D53375271B,"GVP A500-HD8+, SCSI + RAM, Side expansion slot",AMIGA,UNK,xx,
RL-B5D7C2A096,ED-EAEF55CD1A,"Galoob Game Genie Video Game Enhancer, Super Nintendo Entertainment System version, Cartridge pass-thru",SNES,UNK,xx,
RL-863857575F,ED-321DCBE0B6,Game Boy Printer,SFC,UNK,xx,
RL-2747382C51,ED-E28268FB35,Garou Densetsu Special,NEO-AES,UNK,xx,
RL-A8B2B42FCA,ED-F1DA6A7A1E,Garry Kitchen's Super Battletank,SNES,UNK,xx,
RL-7A6EBCA71F,ED-461D52A604,Ghoul Patrol,SNES,UNK,xx,
RL-EDE4703EA3,ED-DCC5C4677D,Gods,SNES,UNK,xx,
RL-2157369C13,ED-8C17326547,Golden Axe,AMIGA,UNK,xx,
RL-C492DFCE44,ED-3AD0C51CC8,Golden Axe,C64,UNK,xx,
RL-E5255A2D5B,ED-13803D0281,Golden Axe,MD,UNK,xx,
RL-AA0680CAE1,ED-92681366AA,Golden Axe,SMS,UNK,xx,
RL-BF542CEAE0,ED-32AAD90A15,Golden Axe,ZX,UNK,xx,
RL-95DCA0E199,ED-7996BCC3A7,Golden Axe II,GEN,UNK,xx,
RL-19C25EB5FE,ED-9E7FF50CA8,Golden Axe II,MD,UNK,xx,
RL-FE3180EA22,ED-2793B25A0B,Golden Axe The Duel,SAT,UNK,xx,
RL-DAD21A5C57,ED-7AF46380DB,Golden Axe Warrior,SMS,UNK,xx,
RL-2350B1BE92,ED-A196BE6498,Golden Axe: Beast Rider,X360,UNK,xx,
RL-3168844660,ED-522F676957,Goldrunner,AMIGA,UNK,xx,
RL-6FDFEE66F5,ED-7BF60D600D,Goof Troop,SNES,UNK,xx,
RL-FE5C558599,ED-6CC63C863F,Gyromite,FAMICOM,UNK,xx,
RL-5196C22294,ED-8408F3E268,Hal's Hole in One Golf,SNES,UNK,xx,
RL-425A5B8B56,ED-170C76480E,Harvest Moon,SNES,UNK,xx,
RL-A7B61E76F4,ED-A2A119D10A,Highway Patrol 2,AMIGA,UNK,xx,
RL-8BCF35F52F,ED-AD70AE775C,Home Alone Kevin Allein zu Haus,SNES,UNK,xx,
RL-055F7ACC3B,ED-D122DE7ECE,Hook,SNES,UNK,xx,
RL-87950E7F6A,ED-4AD501BAEF,"Hudson Soft Super Multitap HC699, 4 player adapter",SNES,UNK,xx,
RL-BE480D5686,ED-3381DE08C1,"Hyperkin Supaboy, Portable Super Nintendo Entertainment System",SNES,UNK,xx,
RL-75DE3FB640,ED-1836AFE71C,IK+,AMIGA,UNK,xx,
RL-B141387166,ED-2C7E22DC63,Illusion of Gaia,SNES,UNK,xx,
RL-419B4059A4,ED-301A6E46CF,Illusion of Time,SNES,UNK,xx,
RL-9C8A934F18,ED-E22149D5C4,Inindo Way of the Ninja,SNES,UNK,xx,
RL-D4D61D26A2,ED-DB87E9171D,Izzy's Quest for the Olympic Rings,SNES,UNK,xx,
RL-E54C06A693,ED-A11CB27D25,J.R.R. Tolkien's Der Herr der Ringe Volume 1,SNES,UNK,xx,
RL-810C116968,ED-7150F43145,J.R.R. Tolkien's The Lord of the Rings Volume 1,SNES,UNK,xx,
RL-4BC9EC80C6,ED-C64C079288,James Bond Jr,SNES,UNK,xx,
RL-65B54E19AB,ED-44EF310194,Jester,SNES,UNK,xx,
RL-B9B9C0A539,ED-11036602ED,Jet Set Willy,C64,UNK,xx,
RL-FC45C77D09,ED-AC561F0360,Jimmy Connors Pro Tennis Tour,SNES,UNK,xx,
RL-20128C5C70,ED-DC43CA2D6F,Joe & Mac,SNES,UNK,xx,
RL-035B06C662,ED-5B7949AC47,Joe & Mac Caveman Ninja,SNES,UNK,xx,
RL-F789310074,ED-76FBD0E3A1,Joe & Mac Ultimate Caveman Collection,SNES,UNK,xx,
RL-D68A5C3BC4,ED-977093281A,John Madden Football '93,SNES,UNK,xx,
